Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
2016,1,1,0.7,-2.9,-1.1,19.1,0,NaN,NaN,0.8,NaN,NaN,NaN
2016,1,2,1.5,-2.9,-0.7,18.7,0,NaN,NaN,0.2,0,NaN,NaN
2016,1,3,2.3,-10.1,-3.9,21.9,0,NaN,NaN,0.2,0,NaN,NaN
2016,1,4,-9.9,-14.2,-12.1,30.1,0,NaN,NaN,0.6,NaN,NaN,NaN
2016,1,5,NaN,-13.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016,1,6,2.4,-4.5,-1.1,19.1,0,NaN,NaN,0.3,NaN,NaN,NaN
2016,1,7,3.7,-2.4,0.7,17.3,0,NaN,NaN,1.2,NaN,NaN,NaN
2016,1,8,NaN,-0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016,1,9,8.1,3.4,5.8,12.2,0,NaN,NaN,2.6,NaN,NaN,NaN
2016,1,10,7.8,-5.5,1.2,16.8,0,NaN,NaN,27.1,NaN,NaN,NaN
2016,1,11,-5.3,-8.800000000000001,-7.1,25.1,0,NaN,NaN,0.2,NaN,NaN,NaN
2016,1,12,-0.8,-8.199999999999999,-4.5,22.5,0,NaN,NaN,3.2,3,NaN,NaN
2016,1,13,-6.1,-8.9,-7.5,25.5,0,NaN,NaN,0.5,4,NaN,NaN
2016,1,14,-0.9,-7.4,-4.2,22.2,0,NaN,NaN,0.2,3,NaN,NaN
2016,1,15,5.7,-2.1,1.8,16.2,0,NaN,NaN,1.3,3,NaN,NaN
2016,1,16,3.9,-2.7,0.6,17.4,0,NaN,NaN,1.2,NaN,NaN,NaN
2016,1,17,0.3,-9.1,-4.4,22.4,0,NaN,NaN,0,NaN,NaN,NaN
2016,1,18,-6.6,-10.1,-8.4,26.4,0,NaN,NaN,0.7,NaN,NaN,NaN
2016,1,19,-2.6,-13.3,-8,26,0,NaN,NaN,1.1,0,NaN,NaN
2016,1,20,-2.7,-6.3,-4.5,22.5,0,NaN,NaN,0,NaN,NaN,NaN
2016,1,21,-2.1,-6.5,-4.3,22.3,0,NaN,NaN,47.6,NaN,NaN,NaN
2016,1,22,-1.8,-6.8,-4.3,22.3,0,NaN,NaN,0.9,NaN,NaN,NaN
2016,1,23,-2.5,-9.699999999999999,-6.1,24.1,0,NaN,NaN,0.5,NaN,NaN,NaN
2016,1,24,0.2,-8,-3.9,21.9,0,NaN,NaN,0,0,NaN,NaN
2016,1,25,5.1,-0.1,2.5,15.5,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,1,26,7,1.6,4.3,13.7,0,NaN,NaN,NaN,0,NaN,NaN
2016,1,27,1.7,-2,-0.2,18.2,0,NaN,NaN,1,NaN,NaN,NaN
2016,1,28,2.3,-0.8,0.8,17.2,0,NaN,NaN,1,NaN,NaN,NaN
2016,1,29,1.3,-7.6,-3.2,21.2,0,NaN,NaN,0,0,NaN,NaN
2016,1,30,6.4,-6.8,-0.2,18.2,0,NaN,NaN,NaN,0,NaN,NaN
2016,1,31,9.9,2.9,6.4,11.6,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,2,1,9.9,1.8,5.9,12.1,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,2,2,2.7,0.8,1.8,16.2,0,NaN,NaN,3.5,NaN,NaN,NaN
2016,2,3,15.6,2.3,9,9,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,2,4,4.5,-0.3,2.1,15.9,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,2,5,2.2,-2,0.1,17.9,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,2,6,4.6,0,2.3,15.7,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,2,7,6,-0.5,2.8,15.2,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,2,8,4.4,-1.4,1.5,16.5,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,2,9,2.2,-2,0.1,17.9,0,NaN,NaN,NaN,1,NaN,NaN
2016,2,10,-0.1,-10.4,-5.3,23.3,0,NaN,NaN,NaN,1,NaN,NaN
2016,2,11,-9,-16.2,-12.6,30.6,0,NaN,NaN,0.7,1,NaN,NaN
2016,2,12,-3.4,-14.4,-8.9,26.9,0,NaN,NaN,0.2,1,NaN,NaN
2016,2,13,-14.3,-24.7,-19.5,37.5,0,NaN,NaN,0.3,1,NaN,NaN
2016,2,14,-9.6,-22.4,-16,34,0,NaN,NaN,0,1,NaN,NaN
2016,2,15,0,-9.6,-4.8,22.8,0,NaN,NaN,NaN,2,NaN,NaN
2016,2,16,0.5,-0.8,-0.2,18.2,0,NaN,NaN,NaN,4,NaN,NaN
2016,2,17,0,-9.300000000000001,-4.7,22.7,0,NaN,NaN,NaN,9,NaN,NaN
2016,2,18,-3,-11,-7,25,0,NaN,NaN,NaN,10,NaN,NaN
2016,2,19,8.1,-3.3,2.4,15.6,0,NaN,NaN,NaN,8,NaN,NaN
2016,2,20,12.9,4.8,8.9,9.1,0,NaN,NaN,NaN,0,NaN,NaN
2016,2,21,7.6,-1,3.3,14.7,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,2,22,1,-3.8,-1.4,19.4,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,2,23,0.8,-2.7,-1,19,0,NaN,NaN,0,NaN,NaN,NaN
2016,2,24,2.7,-0.4,1.2,16.8,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,2,25,2.1,-5.9,-1.9,19.9,0,NaN,NaN,2.5,0,NaN,NaN
2016,2,26,-2.3,-10,-6.2,24.2,0,NaN,NaN,NaN,0,NaN,NaN
2016,2,27,5.9,-4,1,17,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,2,28,14.4,3.2,8.800000000000001,9.199999999999999,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,2,29,11.3,-6.3,2.5,15.5,0,NaN,NaN,0.3,NaN,NaN,NaN
2016,3,1,-6.1,-10.3,-8.199999999999999,26.2,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,3,2,-3.8,-10.3,-7.1,25.1,0,NaN,NaN,NaN,13,NaN,NaN
2016,3,3,-3,-9.1,-6.1,24.1,0,NaN,NaN,NaN,9,NaN,NaN
2016,3,4,0.9,-4.7,-1.9,19.9,0,NaN,NaN,NaN,10,NaN,NaN
2016,3,5,0.8,-2.9,-1.1,19.1,0,NaN,NaN,NaN,6,NaN,NaN
2016,3,6,2.3,-4.5,-1.1,19.1,0,NaN,NaN,NaN,6,NaN,NaN
2016,3,7,12.3,1.8,7.1,10.9,0,NaN,NaN,NaN,4,NaN,NaN
2016,3,8,11.6,5.4,8.5,9.5,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,3,9,18.6,6.7,12.7,5.3,0,NaN,NaN,NaN,NaN,NaN,NaN
2016,3,10,15.2,3.4,9.300000000000001,8.699999999999999,0,NaN,NaN,4.7,NaN,NaN,NaN
